name	level	cui
paracetamol, combinations excl. psycholeptics	5.0	C3653201
spaglumic acid	5.0	C2348231
methyltestosterone	5.0	C0025826
pentifylline	5.0	C0070313
typhoid-hepatitis A	5.0	C1276976
pirenzepine	5.0	C0031978
tetracycline	5.0	C0039644
olanzapine and samidorphan	5.0	C5540068
cabazitaxel	5.0	C2830183
proglumetacin	5.0	C0072315
solifenacin	5.0	C1099677
potassium chloride	5.0	C0032825
darolutamide	5.0	C4547776
valsartan and lercanidipine	5.0	C4059157
bioallethrin	5.0	C0053618
oxygen	5.0	C0030054
atorvastatin and acetylsalicylic acid	5.0	C3871466
solithromycin	5.0	C3655918
empagliflozin	5.0	C3490348
omeprazole, amoxicillin and metronidazole	5.0	C3652452
levodopa	5.0	C0023570
coagulation factor XIII	5.0	C0015528
ropinirole	5.0	C0244821
migalastat	5.0	C2698220
styramate	5.0	C0301418
liraglutide	5.0	C1456408
ivacaftor	5.0	C3264621
sumatriptan	5.0	C0075632
flunarizine	5.0	C0016295
polythiazide	5.0	C0032613
sulfamethoxazole	5.0	C0038689
terizidone	5.0	C0145184
Platelet aggregation inhibitor combinations excl. heparin	5.0	C3539961
dapsone	5.0	C0010980
gefapixant	5.0	C5139827
nepafenac	5.0	C0961209
calcium lactate gluconate	5.0	C0771535
rabeprazole, amoxicillin and metronidazole	5.0	C5227838
niperotidine	5.0	C0650638
fluocortolone and antibiotics	5.0	C3652897
norgestimate and ethinylestradiol	5.0	C0717762
aprotinin	5.0	C0003641
aurotioprol	5.0	C0104696
chymotrypsin	5.0	C0008742
rosuvastatin and amlodipine	5.0	C3871429
imidapril	5.0	C0165703
clomethiazole	5.0	C0008221
moxestrol	5.0	C0066834
selenium (75Se) tauroselcholic acid	5.0	C3652522
butobarbital	5.0	C0054249
etifoxine	5.0	C0059678
bromisoval	5.0	C0006226
promethazine, combinations	5.0	C3653097
ritodrine	5.0	C0035661
oxolinic acid	5.0	C0030031
ferrous sodium citrate	5.0	C5227827
iobenguane (131I)	5.0	C0524959
influenza, virus like particles	5.0	C5432207
cefixime and ornidazole	5.0	C5577409
doravirine	5.0	C4045491
fumaric acid derivatives, combinations	5.0	C3652893
glyceryl trinitrate	5.0	C0017887
ronifibrate	5.0	C2347974
technetium (99mTc) disofenin	5.0	C0075932
calcipotriol, combinations	5.0	C3653162
ximelagatran	5.0	C0966370
clonazepam	5.0	C0009011
potassium phosphate, incl. combinations with other potassium salts	5.0	C3653231
aluminium acetotartrate	5.0	C0102834
nitrazepam	5.0	C0028126
dronedarone	5.0	C0766326
deucravacitinib	5.0	C5420928
talampicillin	5.0	C0039266
carbutamide	5.0	C0007080
foscarnet	5.0	C0070895
metformin and lobeglitazone	5.0	C5432209
thioctic acid	5.0	C0023791
nalmefene	5.0	C0068377
etynodiol	5.0	C0059849
denileukin diftitox	5.0	C0717670
insulin (pork)	5.0	C0770206
calcitonin (human synthetic)	5.0	C3652920
ferrous carbonate	5.0	C0301499
temsirolimus	5.0	C1707080
dihydrocodeine and paracetamol	5.0	C0590747
pramlintide	5.0	C0537551
mangafodipir	5.0	C0772321
carindacillin	5.0	C0054667
spiramycin	5.0	C0037962
etravirine	5.0	C1456409
verteporfin	5.0	C0387288
dexchlorpheniramine	5.0	C0057606
tropatepine	5.0	C0077388
ofloxacin	5.0	C0028902
interferon alfa-2b	5.0	C0021735
rifabutin	5.0	C0140575
metharbital	5.0	C0025629
rolapitant	5.0	C3273719
zorubicin	5.0	C0206788
acotiamide	5.0	C4317155
interferon alfa-2a	5.0	C0021734
miglitol	5.0	C0066535
atidarsagene autotemcel	5.0	C5556517
isoprenaline, combinations	5.0	C3653079
von Willebrand factor	5.0	C0042971
telbivudine	5.0	C1453933
enalapril and diuretics	5.0	C3653038
carbenoxolone, combinations excl. psycholeptics	5.0	C3653198
pepsin and acid preparations	5.0	C3652725
calcium dobesilate, combinations	5.0	C3652887
ixekizumab	5.0	C3489764
metamizole sodium, combinations with psycholeptics	5.0	C3653244
succinimide	5.0	C0075432
agomelatine	5.0	C0971637
guaifenesin	5.0	C0018305
teneligliptin	5.0	C2981308
maprotiline	5.0	C0024778
bietaserpine	5.0	C0053565
metampicillin	5.0	C0066082
cloranolol	5.0	C0076772
ampicillin	5.0	C0002680
artesunate, sulfalene and pyrimethamine	5.0	C3652931
pipazetate	5.0	C0071099
oxiconazole	5.0	C0069765
coagulation factor X	5.0	C0015518
oxazepam	5.0	C0029997
azatadine	5.0	C0052759
proquazone	5.0	C0072247
dextropropoxyphene, combinations with psycholeptics	5.0	C3653257
macitentan	5.0	C2606556
animal allergen extracts	5.0	C3540698
magnesium citrate	5.0	C0126774
ergotamine	5.0	C0014710
prothipendyl	5.0	C0139007
dopexamine	5.0	C0058702
chlorobutanol, combinations	5.0	C3653124
raxibacumab	5.0	C2717174
rauwolfia alkaloids, whole root and diuretics	5.0	C3653060
propofol	5.0	C0033487
rosuvastatin and ezetimibe	5.0	C3700394
dibotermin alfa	5.0	C1445578
olaparib	5.0	C2316164
trilostane	5.0	C0077144
semustine	5.0	C0036637
cicletanine	5.0	C0056686
iprazochrome	5.0	C0123902
belimumab	5.0	C1723401
isavuconazole	5.0	C1832021
diethylcarbamazine	5.0	C0012191
olmesartan medoxomil and amlodipine	5.0	C3652731
hydrocortisone butyrate and antiseptics	5.0	C3652963
mefruside and potassium	5.0	C3652745
artemotil	5.0	C0052427
ambroxol	5.0	C0002421
telotristat	5.0	C3884837
ichtasol	5.0	C3652683
lepirudin	5.0	C0772394
amlodipine and celecoxib	5.0	C4695019
alsactide	5.0	C0050622
aluminium hydroxide	5.0	C0002371
doxefazepam	5.0	C0114875
hepatitis A, inactivated, whole virus	5.0	C3652508
probucol	5.0	C0033215
diethylstilbestrol	5.0	C0012203
bromelains	5.0	C0006217
clomipramine	5.0	C0009010
silver nitrate	5.0	C0037129
zolmitriptan	5.0	C0528166
ethyl chloride	5.0	C0015058
chloropyramine, combinations	5.0	C3653123
risdiplam	5.0	C5139676
dolutegravir and rilpivirine	5.0	C4530989
potassium hydrogencarbonate	5.0	C3652561
delavirdine	5.0	C0288165
sapropterin	5.0	C0048897
gefarnate, combinations with psycholeptics	5.0	C3653251
ubrogepant	5.0	C4505936
ergotamine, combinations excl. psycholeptics	5.0	C3653206
phentermine and topiramate	5.0	C3475162
evolocumab	5.0	C3529352
bucillamine	5.0	C0073917
tertatolol	5.0	C0076166
terlipressin	5.0	C0145185
miocamycin	5.0	C0026202
carbamide, combinations	5.0	C3652429
liquid paraffin, combinations	5.0	C3652857
tepotinib	5.0	C4287799
lamivudine, tenofovir disoproxil and dolutegravir	5.0	C5227834
difelikefalin	5.0	C4519744
eculizumab	5.0	C1541483
pipecuronium bromide	5.0	C0206049
propranolol and other combinations	5.0	C4301627
netilmicin	5.0	C0027780
chlorprothixene	5.0	C0008290
otilonium bromide and psycholeptics	5.0	C3652729
atorvastatin and amlodipine	5.0	C1329978
combinations of different antibiotics	5.0	C3653136
fibrinolysin and desoxyribonuclease	5.0	C2928889
calcium chloride	5.0	C0006686
gedocarnil	5.0	C2348738
hydromorphone and naloxone	5.0	C4542169
neltenexine	5.0	C0382131
carbamide	5.0	C0041942
desogestrel	5.0	C0057558
benzathine phenoxymethylpenicillin	5.0	C0053155
pitavastatin	5.0	C1101838
perindopril and bisoprolol	5.0	C4059161
proxazole	5.0	C0072507
calcium laevulate	5.0	C0108124
lorcaserin	5.0	C2350948
bendazac	5.0	C0053097
saruplase	5.0	C0141582
piketoprofen	5.0	C0285260
oxyfedrine	5.0	C0030053
almitrine	5.0	C0002164
thonzylamine	5.0	C0175162
repaglinide	5.0	C0246689
metyrapone	5.0	C0025876
celiprolol	5.0	C0055021
thymopentin	5.0	C0080225
clemastine	5.0	C0008929
samarium (153Sm) hydroxyapatite colloid	5.0	C3652523
ascorbic acid and calcium	5.0	C2006101
cefixime	5.0	C0060400
rescinnamine and diuretics	5.0	C3653062
amisulpride	5.0	C0103045
thiocolchicoside	5.0	C0076456
theophylline and adrenergics	5.0	C3653068
proguanil and atovaquone	5.0	C0939219
fludrocortisone and antiinfectives	5.0	C3652909
deserpidine and diuretics	5.0	C3653040
norfloxacin and tinidazole	5.0	C3871436
loperamide oxide	5.0	C0083256
Lavandulae aetheroleum	5.0	C0064694
futibatinib	5.0	C5139845
pipradrol	5.0	C0031974
peginterferon alfa-2a	5.0	C0391001
aripiprazole	5.0	C0299792
retinol (vit A)	5.0	C0042839
viltolarsen	5.0	C5139804
clofibrate	5.0	C0009002
chlorothiazide, combinations	5.0	C3652440
calcium carbonate	5.0	C0006681
pneumococcus, purified polysaccharides antigen conjugated	5.0	C3652517
maraviroc	5.0	C1667052
rimexolone	5.0	C0140594
levobunolol	5.0	C0006388
aminobenzoate potassium	5.0	C0543464
pneumococcus purified polysaccharides antigen and haemophilus influenzae, conjugated	5.0	C3652722
surufatinib	5.0	C3897426
prochlorperazine	5.0	C0033229
cyclobarbital	5.0	C0010552
propicillin	5.0	C0072176
cetrimonium	5.0	C0055151
tamsulosin	5.0	C0257343
metformin and repaglinide	5.0	C2356045
cefonicid	5.0	C0007551
protriptyline	5.0	C0033743
lenograstim	5.0	C0218640
metformin and sulfonylureas	5.0	C3652453
phenindamine	5.0	C0070563
rabies serum	5.0	C3652538
cafedrine	5.0	C0068978
cyclofenil	5.0	C0010560
iofendylate	5.0	C0022029
bupranolol	5.0	C0006403
auranofin	5.0	C0004320
flunitrazepam	5.0	C0016296
trovafloxacin	5.0	C0379881
edaravone	5.0	C0070694
combinations of barbiturates	5.0	C3653161
asenapine	5.0	C2000088
cyclopenthiazide and potassium	5.0	C3652789
mycophenolic acid	5.0	C0026933
pretomanid	5.0	C4310440
celecoxib	5.0	C0538927
zinc sulfate	5.0	C0078794
rose bengal sodium	5.0	C1321948
oxyphenbutazone	5.0	C0030078
ezetimibe	5.0	C1142985
perhexiline	5.0	C0031013
dimeticone	5.0	C1113707
aluminium preparations	5.0	C3652575
dronabinol	5.0	C0039663
paraldehyde	5.0	C0030438
flurithromycin	5.0	C0060591
demeclocycline	5.0	C0011276
bleomycin	5.0	C0005740
enoximone	5.0	C0116190
iclaprim	5.0	C1452002
eribulin	5.0	C2350866
pegvaliase	5.0	C4519229
paclitaxel	5.0	C0144576
risperidone	5.0	C0073393
nicomorphine	5.0	C0068699
rabies immunoglobulin	5.0	C0301503
glycopyrronium bromide	5.0	C4082411
corticotropin	5.0	C0001655
lobeglitazone	5.0	C2744790
morphine	5.0	C0026549
citicoline	5.0	C0010725
fasudil	5.0	C0062068
estriol	5.0	C0014927
tirzepatide	5.0	C5139934
cyclizine, combinations	5.0	C3653160
losartan	5.0	C0126174
desaspidin	5.0	C0057515
amoxicillin and beta-lactamase inhibitor	5.0	C3653015
oxabolone cipionate	5.0	C2825599
dipyridamole	5.0	C0012582
dipyrocetyl and corticosteroids	5.0	C3652777
diethyl ether	5.0	C3495432
flumedroxone	5.0	C0060492
vinorelbine	5.0	C0078257
pentaerithrityl	5.0	C3652599
tiazofurine	5.0	C3652605
benzylthiouracil	5.0	C0053332
etidocaine, combinations	5.0	C3652874
delapril and diuretics	5.0	C3653041
ferric sodium citrate	5.0	C0772267
sulfatolamide	5.0	C0075541
diiodotyrosine	5.0	C0012344
aminophylline and adrenergics	5.0	C3652434
tocilizumab	5.0	C1609165
atenolol and nifedipine	5.0	C1302013
glutethimide	5.0	C0017845
bromhexine	5.0	C0006220
benzilone	5.0	C3652928
colchicine	5.0	C0009262
acetic acid	5.0	C0000983
grazoprevir	5.0	C4080053
aniracetam	5.0	C0051917
tolazoline	5.0	C0040373
monoxerutin	5.0	C0771957
pimozide	5.0	C0031935
micafungin	5.0	C1120386
cobicistat	5.0	C3177235
aceneuramic acid	5.0	C2825327
inebilizumab	5.0	C4519594
zinc protein complex	5.0	C2064896
orgotein	5.0	C0069638
lanthanum carbonate	5.0	C0768119
bunaftine	5.0	C0006378
epicillin	5.0	C0059424
cyfluthrin	5.0	C0056836
triamterene	5.0	C0040869
poly I:C	5.0	C0032414
digitalis leaves	5.0	C0770121
pertussis, inactivated, whole cell, combinations with toxoids	5.0	C3653238
sepofarsen	5.0	C5419280
sincalide	5.0	C0037167
anagrelide	5.0	C0051809
alcuronium	5.0	C0001981
potassium polysulfide	5.0	C3652675
stavudine	5.0	C0164662
peginterferon alfa-2a, combinations	5.0	C3652807
vinpocetine	5.0	C0059752
hydroflumethiazide and potassium	5.0	C3652759
colestipol	5.0	C0009279
itopride	5.0	C0531483
fluoroestradiol (18F)	5.0	C4301616
fludiazepam	5.0	C0060485
BCG vaccine	5.0	C0004886
hydroquinidine	5.0	C0063103
cortisone	5.0	C0010137
ketazolam	5.0	C0064304
tioguanine	5.0	C0039902
bromopride	5.0	C0054129
methylatropine	5.0	C0066332
ipriflavone	5.0	C0123903
opium derivatives and expectorants	5.0	C3543844
atorvastatin	5.0	C0286651
naproxcinod	5.0	C0673815
pralatrexate	5.0	C1721300
carfecillin	5.0	C0007241
donepezil	5.0	C0527316
nalbuphine	5.0	C0027348
amiloride	5.0	C0002502
acetylsalicylic acid	5.0	C0004057
salbutamol and ipratropium bromide	5.0	C1302121
cefsulodin	5.0	C0007558
epacadostat	5.0	C4086265
lercanidipine	5.0	C0526399
carbazochrome	5.0	C0006972
ravulizumab	5.0	C4550350
salmeterol	5.0	C0073992
other plasma protein fractions	5.0	C3652499
tasosartan	5.0	C0662811
hydroxyzine, combinations	5.0	C3652439
beclometasone and antibiotics	5.0	C3653010
haemophilus influenzae B and hepatitis B	5.0	C3652762
drotaverine	5.0	C0058762
somatropin	5.0	C0169964
other preparations, combinations	5.0	C3652813
chlorzoxazone	5.0	C0008296
silymarin	5.0	C0037135
dihydralazine and diuretics	5.0	C3653039
sodium stibogluconate	5.0	C0030895
mirabegron	5.0	C2983812
copper (64Cu) dotatate	5.0	C5783047
acetoxolone	5.0	C0050521
tolpropamine	5.0	C0076805
protirelin	5.0	C0040162
liquid paraffin	5.0	C0026156
valsartan, amlodipine and hydrochlorothiazide	5.0	C2701863
lung surfactant combinations	5.0	C3539955
clopenthixol	5.0	C0009026
indoramin	5.0	C0021252
Imidazole and triazole derivative topical antifungal combinations	5.0	C3539958
chlorcyclizine	5.0	C0008183
pertussis, purified antigen	5.0	C3652514
ammonium chloride	5.0	C0002615
remdesivir	5.0	C4726677
bekanamycin	5.0	C0053076
sulfonamides, combinations with other antibacterials (excl. trimethoprim)	5.0	C3653221
leflunomide	5.0	C0063041
phloroglucinol	5.0	C0031566
acetrizoic acid	5.0	C0001017
benfotiamine	5.0	C0053116
dolasetron	5.0	C0209210
ditazole	5.0	C0012777
daclatasvir	5.0	C3252090
ketobemidone and antispasmodics	5.0	C3652752
atorvastatin, acetylsalicylic acid and perindopril	5.0	C4300784
proglumide	5.0	C0033321
dexfenfluramine	5.0	C0011786
epimestrol	5.0	C0014561
clonidine	5.0	C0009014
captodiame	5.0	C0301409
melagatran	5.0	C0668961
doxacurium chloride	5.0	C0114872
cerliponase alfa	5.0	C4475875
sodium selenite	5.0	C0142923
ocriplasmin	5.0	C0066522
iloperidone	5.0	C0247194
lixisenatide	5.0	C2973895
fludrocortisone	5.0	C0016280
aliskiren, amlodipine and hydrochlorothiazide	5.0	C2955629
cefoxitin	5.0	C0007557
sofosbuvir, velpatasvir and voxilaprevir	5.0	C4518997
clobazam	5.0	C0055891
vorapaxar	5.0	C2974521
bopindolol and other diuretics	5.0	C3653006
betamethasone and antiinfectives	5.0	C3652912
tetanus toxoid, combinations with tetanus immunoglobulin	5.0	C3653219
elcatonin	5.0	C0115656
meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated	5.0	C3652503
nelarabine	5.0	C0907349
proscillaridin, combinations	5.0	C3653095
avocado and soyabean oil, unsaponifiables	5.0	C3652930
gefarnate	5.0	C0017226
ibudilast	5.0	C0123047
sargramostim	5.0	C0216231
amineptine	5.0	C0051607
prilocaine, combinations	5.0	C3653105
metamfetamine	5.0	C0025611
lamivudine and tenofovir disoproxil	5.0	C3871446
suramin sodium	5.0	C0813205
ketoprofen	5.0	C0022635
polynoxylin	5.0	C0071626
tiemonium iodide and analgesics	5.0	C3652704
vestronidase alfa	5.0	C4519728
dimazole	5.0	C0057720
trimetazidine	5.0	C0041037
acebutolol	5.0	C0000946
cefcapene	5.0	C2699134
propyphenazone, combinations excl. psycholeptics	5.0	C3653210
melphalan	5.0	C0025241
radium (223Ra) dichloride	5.0	C3700396
pantethine	5.0	C0070034
aldesleukin	5.0	C0218986
cetirizine	5.0	C0055147
piracetam	5.0	C0031977
fenyramidol	5.0	C1510448
hydrochloric acid	5.0	C0020259
phenolsulfonphthalein	5.0	C0031430
clomifene	5.0	C0009008
levocabastine	5.0	C0064870
methylprednisolone and antiinfectives	5.0	C3652953
oxymetazoline	5.0	C0030071
famotidine, combinations	5.0	C3652428
bismuth subcitrate, tetracycline and metronidazole	5.0	C2928684
fenfluramine	5.0	C0015827
fendiline	5.0	C0015824
interferon gamma	5.0	C3539881
sulfinpyrazone	5.0	C0038742
nitrofurantoin	5.0	C0028156
chloral hydrate	5.0	C0008161
acrivastine	5.0	C0054340
latanoprost and netarsudil	5.0	C4762758
Other intestinal adsorbent combinations in ATC	5.0	C3539960
enasidenib	5.0	C4519428
vedolizumab	5.0	C2742797
methoxyflurane	5.0	C0025688
methocarbamol, combinations with psycholeptics	5.0	C3653243
cefuroxime	5.0	C0007562
aprobarbital	5.0	C0051241
mepacrine	5.0	C0034403
methylscopolamine and psycholeptics	5.0	C3652952
triamcinolone and antiinfectives	5.0	C3653138
quifenadine	5.0	C0243449
iproclozide	5.0	C0063841
carbinoxamine	5.0	C0054672
clopidogrel	5.0	C0070166
cocaine	5.0	C0009170
2-(4-chlorphenoxy)-ethanol	5.0	C3652945
nordazepam	5.0	C0011279
labetalol and other diuretics	5.0	C3652958
acemetacin	5.0	C0050409
isothipendyl	5.0	C0064088
flupirtine	5.0	C0060583
sultiame	5.0	C0038807
sirolimus	5.0	C0072980
sparfloxacin	5.0	C0052585
norgestrel and ethinylestradiol	5.0	C3652732
dithranol	5.0	C0003166
bisoprolol and acetylsalicylic acid	5.0	C4301606
selenium compounds	5.0	C3536924
ammonia (13N)	5.0	C1998431
trospium and analgesics	5.0	C3653073
tazarotene and ulobetasol	5.0	C5432214
nomegestrol	5.0	C0068922
ivabradine	5.0	C0257190
mercuric chloride	5.0	C0025417
aminophenazone, combinations excl. psycholeptics	5.0	C3653214
proguanil	5.0	C0008241
fluorescein, combinations	5.0	C3652894
trimethadione	5.0	C0041038
clobetasol	5.0	C0008992
ethosuximide, combinations	5.0	C3652875
papaverine	5.0	C0030350
cannabinoids	5.0	C0006864
eptinezumab	5.0	C4694272
iocetamic acid	5.0	C0650160
econazole	5.0	C0013547
cloxazolam	5.0	C0055964
etoglucid	5.0	C0015039
picodralazine and diuretics, combinations with psycholeptics	5.0	C3653232
zuclopenthixol	5.0	C0376160
melarsoprol	5.0	C0025217
meprednisone	5.0	C0065967
cycloguanil embonate	5.0	C0650171
pentoxifylline	5.0	C0030899
tafenoquine	5.0	C0903411
pertussis, purified antigen, combinations with toxoids	5.0	C3653237
diprophylline and adrenergics	5.0	C3652778
zidovudine, lamivudine and abacavir	5.0	C0939216
emtricitabine and tenofovir alafenamide	5.0	C4059167
apixaban	5.0	C1831808
onasemnogene abeparvovec	5.0	C5140028
norethisterone	5.0	C0028356
cyproheptadine	5.0	C0010620
tromantadine	5.0	C0077379
varenicline	5.0	C1569608
cefalotin	5.0	C0007735
prucalopride	5.0	C0913506
imipramine	5.0	C0020934
methylcellulose	5.0	C0025729
dihydroergocristine, combinations	5.0	C3653151
thalidomide	5.0	C0039736
ondansetron	5.0	C0061851
vinburnine	5.0	C0148398
propranolol	5.0	C0033497
demoxytocin	5.0	C0057218
amitriptyline	5.0	C0002600
senega	5.0	C3536997
lisdexamfetamine	5.0	C1873633
desflurane	5.0	C0063252
acetylsalicylic acid, combinations with psycholeptics	5.0	C3653273
mepyramine theophyllinacetate	5.0	C4542172
omeprazole, amoxicillin and clarithromycin	5.0	C0677814
mumps immunoglobulin	5.0	C0770704
levetiracetam	5.0	C0377265
patent blue	5.0	C4691336
lamotrigine	5.0	C0064636
octinoxate	5.0	C0046100
cyclopentolate	5.0	C0010582
bencyclane	5.0	C0004969
nitazoxanide	5.0	C0068788
molnupiravir	5.0	C5435024
butoconazole	5.0	C0054259
drospirenone and ethinylestradiol	5.0	C2604206
asparaginase	5.0	C0003993
vapreotide	5.0	C0164678
tixocortol, combinations	5.0	C3653113
enalapril	5.0	C0014025
betaxolol	5.0	C0005320
brimonidine	5.0	C0525227
benzatropine	5.0	C0005098
ibandronic acid	5.0	C0379200
promestriene	5.0	C0072151
meropenem and vaborbactam	5.0	C4482910
gallopamil	5.0	C0016986
levothyroxine sodium and iodine compounds	5.0	C5783058
pirisudanol	5.0	C0072732
rosiglitazone	5.0	C0289313
efgartigimod alfa	5.0	C5139924
alcaftadine	5.0	C2348241
glycerol phenylbutyrate	5.0	C3490329
ibuproxam	5.0	C0063268
bucetin, combinations excl. psycholeptics	5.0	C3653204
tetracycline and oleandomycin	5.0	C2928856
ozenoxacin	5.0	C2983945
flumetasone and antiseptics	5.0	C3652432
permethrin, combinations	5.0	C3652615
mivacurium chloride	5.0	C0128603
tibezonium iodide	5.0	C0772481
sibutramine	5.0	C0074493
combinations of electrolytes	5.0	C3653135
ibopamine	5.0	C0123043
insect allergenic extracts	5.0	C0981916
magnesium sulfate	5.0	C0024480
aluminium phosphate	5.0	C0051519
glecaprevir and pibrentasvir	5.0	C4519575
daunorubicin	5.0	C0011015
rociverine	5.0	C0073547
sebelipase alfa	5.0	C4050579
pentetrazol, combinations	5.0	C3652616
pipobroman	5.0	C0031965
riociguat	5.0	C2717561
atorvastatin and omega-3 fatty acids	5.0	C5227823
lorazepam	5.0	C0024002
mannosulfan	5.0	C0065696
nivolumab and relatlimab	5.0	C5577550
diazepam	5.0	C0012010
testosterone and estrogen	5.0	C2194257
policresulen	5.0	C0137757
carbromal	5.0	C0007077
deanol	5.0	C0011064
gamolenic acid	5.0	C0061078
oritavancin	5.0	C1144403
casopitant	5.0	C2347566
dixyrazine	5.0	C0058518
sofosbuvir and ledipasvir	5.0	C3858051
phenazocine	5.0	C0031376
lorcainide	5.0	C0065183
benazepril and diuretics	5.0	C3653045
efaproxiral	5.0	C0080719
proxibarbal	5.0	C0288495
hydrochlorothiazide and potassium-sparing agents	5.0	C3652967
roxithromycin	5.0	C0035891
fenquizone	5.0	C0060196
fulvestrant	5.0	C0935916
bemegride	5.0	C0004960
sotalol	5.0	C0037707
dienogest and estrogen	5.0	C3652779
rota virus, live attenuated	5.0	C0795661
cobimetinib	5.0	C4049146
diiodohydroxypropane	5.0	C0043934
afatinib	5.0	C2987648
naftidrofuryl	5.0	C0027329
benzbromarone	5.0	C0005035
besifloxacin	5.0	C2351042
benzethonium chloride, combinations	5.0	C3653176
ioxilan	5.0	C0063829
encephalitis, tick borne, inactivated, whole virus	5.0	C3652481
pomalidomide	5.0	C2347624
aminophenazone	5.0	C0002586
trilaciclib	5.0	C4524320
bisoprolol and thiazides	5.0	C3652924
pregabalin	5.0	C0657912
iotroxic acid	5.0	C0063827
laquinimod	5.0	C1260208
tiabendazole	5.0	C0039832
gepirone	5.0	C0066624
salbutamol and sodium cromoglicate	5.0	C0358708
rimonabant	5.0	C1142933
vericiguat	5.0	C4078709
acetylsalicylic acid, combinations with proton pump inhibitors	5.0	C3871424
Ginkgo folium	5.0	C3652574
mofebutazone	5.0	C0066774
valbenazine	5.0	C4078701
emtricitabine	5.0	C0909839
gemfibrozil	5.0	C0017245
iron oxide, nanoparticles	5.0	C3652446
carteolol, combinations	5.0	C3652886
dihydralazine and diuretics, combinations with other drugs	5.0	C3653256
imidafenacin	5.0	C1876226
lovastatin	5.0	C0024027
sodium phosphate	5.0	C0074757
cholic acid	5.0	C0055568
etynodiol and estrogen	5.0	C3652455
tenofovir alafenamide	5.0	C3713958
bismuth subnitrate	5.0	C0053791
trimipramine	5.0	C0041056
methadone	5.0	C0025605
cobamamide	5.0	C0056039
acetohydroxamic acid	5.0	C0050451
feprazone	5.0	C0033056
fosdenopterin	5.0	C2934004
cetuximab	5.0	C0995188
bornaprine	5.0	C0053947
isoaminile	5.0	C0063912
amlexanox	5.0	C0103049
benzyl alcohol	5.0	C0005100
Hepatitis vaccine combinations	5.0	C3540026
hexamidine	5.0	C0062648
susoctocog alfa	5.0	C3859426
desogestrel and ethinylestradiol	5.0	C1112096
bisoprolol and amlodipine	5.0	C3653007
amyl nitrite	5.0	C0002711
nialamide	5.0	C0027999
quinagolide	5.0	C0256089
travoprost	5.0	C0937916
xenon (127Xe) gas	5.0	C0303677
dehydroemetine	5.0	C0082286
metformin and vildagliptin	5.0	C3652744
betamethasone and mydriatics	5.0	C3652903
prednisolone and antiseptics	5.0	C3653053
miltefosine	5.0	C0068006
gallium (68Ga) gozetotide	5.0	C3656970
dropropizine	5.0	C0058425
siponimod	5.0	C3657824
ceratonia	5.0	C0349918
Calcium antacid compound combinations	5.0	C3539977
pentazocine	5.0	C0030873
idecabtagene vicleucel	5.0	C3899973
fentiazac	5.0	C0060201
sodium aminosalicylate	5.0	C0301336
polyplatillen	5.0	C0208926
artenimol and piperaquine	5.0	C3652803
tolcapone	5.0	C0246330
atorvastatin, acetylsalicylic acid and ramipril	5.0	C3871465
duvelisib	5.0	C4079854
sulfathiourea	5.0	C0075539
aciclovir	5.0	C0001367
omeprazole, amoxicillin and rifabutin	5.0	C5211090
dapsone and rifampicin	5.0	C5783052
acipimox	5.0	C0050558
hydrotalcite	5.0	C0063105
canakinumab	5.0	C2718773
dasiprotimut-T	5.0	C3871453
sulfanilamide	5.0	C0038702
carisoprodol, combinations with psycholeptics	5.0	C3653266
tiopronin	5.0	C0025405
indium (111In) satumomab pendetide	5.0	C0209389
trientine	5.0	C0040976
iodine/octylphenoxypolyglycolether	5.0	C3652554
dimetacrine	5.0	C0058199
insulin glulisine	5.0	C1313386
polystyrene sulfonate	5.0	C0137904
technetium (99mTc) medronic acid	5.0	C3652586
megestrol and estrogen	5.0	C3652785
cation exchange resins	5.0	C0007445
desonide	5.0	C0011705
abiraterone	5.0	C0754011
olodaterol	5.0	C2934193
iron, vitamin B12 and folic acid	5.0	C3652753
isoflurane	5.0	C0022180
nystatin, combinations	5.0	C3652820
dexamethasone and antibiotics	5.0	C3652980
artenimol	5.0	C2828299
nicergoline	5.0	C0028008
oxedrine	5.0	C0795712
perflutren, phospholipid microspheres	5.0	C3652550
thrombocytes	5.0	C0005821
Cimicifugae rhizoma	5.0	C3652943
fosfomycin	5.0	C0016610
iodine (131I) norcholesterol	5.0	C3652621
temazepam	5.0	C0039468
octopamine	5.0	C0028403
bupivacaine, combinations	5.0	C3653164
drospirenone	5.0	C0043822
fimasartan	5.0	C2825622
trastuzumab emtansine	5.0	C2935436
vorinostat	5.0	C0672708
daptomycin	5.0	C0057144
technetium (99mTc) etarfolatide	5.0	C3700391
eletriptan	5.0	C0759933
manidipine	5.0	C0065656
gemcitabine	5.0	C0045093
lornoxicam	5.0	C0055477
meningococcus B, multicomponent vaccine	5.0	C3652502
Hyperici herba	5.0	C0813171
clofazimine	5.0	C0008996
azelastine	5.0	C0052762
fluphenazine	5.0	C0016368
ferric acetyl transferrin	5.0	C3652690
methylprednisolone, combinations	5.0	C3652437
nebivolol and amlodipine	5.0	C3871438
lesinurad	5.0	C3886073
evinacumab	5.0	C4508522
Hederae helicis folium	5.0	C3652573
nifurtimox	5.0	C0028073
stiripentol	5.0	C0075262
sodium iodide (124I)	5.0	C1828393
triazolam	5.0	C0040879
hexapropymate	5.0	C0062664
